architecture,width,lane,arm,bytes,model_us,measured_us,error_pct
a100,2,legacy,auto,2686976,66.18322385139636,77.36320049,-14.451285065499276
a100,2,legacy,auto,2703360,66.48199668580963,77.67040282,-14.404980182888117
a100,2,legacy,auto,2719744,66.7805142165882,78.0287981,-14.415554458491398
a100,2,legacy,auto,2736128,67.07877819791757,77.51680166,-13.465498109513241
a100,2,legacy,auto,2752512,67.37679036150264,75.62239468,-10.903654074152303
a100,2,legacy,auto,2768896,67.67455241698731,74.95679706,-9.715255892248887
a100,2,legacy,auto,2785280,67.9720660523653,74.90559667,-9.256358571150125
a100,2,legacy,auto,2801664,68.26933293437914,75.46880096,-9.539661335598437
a100,2,legacy,auto,2818048,68.56635470891077,75.72479546,-9.453232204331963
a100,2,legacy,auto,2834432,68.86313300136227,75.82719624,-9.18412335410087
a100,2,legacy,auto,2850816,69.15966941702763,76.90240443,-10.068261285666502
a100,2,legacy,auto,2867200,69.45596554145547,79.20639962,-12.310159438281676
a100,2,legacy,auto,2883584,69.75202294080344,76.33920014,-8.628826588589089
a100,2,legacy,auto,2899968,70.04784316218375,76.18559897,-8.056320211163715
a100,2,legacy,auto,2916352,70.34342773400205,76.80000365,-8.406999491070922
a100,2,legacy,auto,2932736,70.6387781662863,77.00480521,-8.267051681194303
a100,2,legacy,auto,2949120,70.93389595100922,77.00480521,-7.883805747491712
a100,2,legacy,auto,2965504,71.22878256240452,77.3120001,-7.868400157449152
a100,2,legacy,auto,2981888,71.52343945727289,77.26079971,-7.42596539805751
a100,2,legacy,auto,2998272,71.81786807528381,77.72160321,-7.596002772568367
a100,2,legacy,auto,3014656,72.11206983926924,77.56800205,-7.033740803603394
a100,2,legacy,auto,3031040,72.40604615551109,77.67040282,-6.777815581424218
a100,2,legacy,auto,3047424,72.69979841402181,78.13119888,-6.951641013879939
a100,2,legacy,auto,3063808,72.9933279888193,77.87520438,-6.2688456872088345
a100,2,legacy,auto,3080192,73.28663623819519,78.43840122,-6.567911764743151
a100,2,legacy,auto,3096576,73.57972450497775,78.18239927,-5.887098385311884
a100,2,legacy,auto,3112960,73.87259411678909,78.28480005,-5.636095296140331
a100,2,legacy,auto,3129344,74.1652463862955,78.95039767,-6.060959064076754
a100,2,legacy,auto,3145728,74.45768261145442,79.10399884,-5.873680593497522
a100,2,legacy,auto,3162112,74.74990407575396,79.3088004,-5.748285563837674
a100,2,legacy,auto,3178496,75.04191204844943,79.25760001,-5.318969992806588
a100,2,legacy,auto,3194880,75.3337077847926,79.46239412,-5.195773901516832
a100,2,legacy,auto,3211264,75.62529252625791,79.82079685,-5.256154397489066
a100,2,legacy,auto,3227648,75.91666750076296,80.64000309,-5.8573107741147545
a100,2,legacy,auto,3244032,76.20783392288452,80.43520153,-5.255618841880816
a100,2,legacy,auto,3260416,76.49879299407023,80.33280075,-4.77265540368923
a100,2,legacy,auto,3276800,76.78954590284532,80.79360425,-4.9559100430337395
a100,2,legacy,auto,3293184,77.08009382501659,80.53760231,-4.293036278476469
a100,2,legacy,auto,3309568,77.37043792387007,80.79360425,-4.236927363133358
a100,2,legacy,auto,3325952,77.66057935036568,80.99840581,-4.120854510968941
a100,2,legacy,auto,3342336,77.95051924332839,81.40800148,-4.247103692283893
a100,2,legacy,auto,3358720,78.2402587296349,81.56160265,-4.072190604956305
